
DECIMAL   	HEX       	DESCRIPTION
5700661   	0x56FC35  	LZMA compressed data, properties: 0x5D, dictionary size: 131072 bytes, missing uncompressed size
5700713   	0x56FC69  	LZMA compressed data, properties: 0x5D, dictionary size: 131072 bytes, missing uncompressed size
5700765   	0x56FC9D  	LZMA compressed data, properties: 0x5D, dictionary size: 131072 bytes, missing uncompressed size
5700817   	0x56FCD1  	LZMA compressed data, properties: 0x5D, dictionary size: 131072 bytes, missing uncompressed size
5700869   	0x56FD05  	LZMA compressed data, properties: 0x5D, dictionary size: 131072 bytes, missing uncompressed size
5700921   	0x56FD39  	LZMA compressed data, properties: 0x5D, dictionary size: 131072 bytes, missing uncompressed size
5710431   	0x57225F  	LZMA compressed data, properties: 0xC0, dictionary size: 65536 bytes, uncompressed size: 131072 bytes
5710583   	0x5722F7  	LZMA compressed data, properties: 0xC0, dictionary size: 65536 bytes, uncompressed size: 131072 bytes
5710643   	0x572333  	LZMA compressed data, properties: 0xC0, dictionary size: 65536 bytes, uncompressed size: 131072 bytes
5710703   	0x57236F  	LZMA compressed data, properties: 0xC0, dictionary size: 65536 bytes, uncompressed size: 131072 bytes
6041218   	0x5C2E82  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6041518   	0x5C2FAE  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6041758   	0x5C309E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6041818   	0x5C30DA  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6041878   	0x5C3116  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6041938   	0x5C3152  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6041998   	0x5C318E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042058   	0x5C31CA  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042118   	0x5C3206  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042178   	0x5C3242  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042238   	0x5C327E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042298   	0x5C32BA  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042358   	0x5C32F6  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042418   	0x5C3332  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042478   	0x5C336E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042538   	0x5C33AA  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6042598   	0x5C33E6  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6064950   	0x5C8B36  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065250   	0x5C8C62  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065490   	0x5C8D52  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065550   	0x5C8D8E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065610   	0x5C8DCA  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065670   	0x5C8E06  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065730   	0x5C8E42  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065790   	0x5C8E7E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065850   	0x5C8EBA  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065910   	0x5C8EF6  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6065970   	0x5C8F32  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6066030   	0x5C8F6E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6066090   	0x5C8FAA  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6066150   	0x5C8FE6  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6066210   	0x5C9022  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6066270   	0x5C905E  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6066330   	0x5C909A  	LZMA compressed data, properties: 0x40, dictionary size: 16777216 bytes, uncompressed size: 65280 bytes
6822692   	0x681B24  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
6823892   	0x681FD4  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
6866100   	0x68C4B4  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
6867300   	0x68C964  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
6909508   	0x696E44  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
6910708   	0x6972F4  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7083140   	0x6C1484  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7084340   	0x6C1934  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7126548   	0x6CBE14  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7127748   	0x6CC2C4  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7213364   	0x6E1134  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7213412   	0x6E1164  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7214564   	0x6E15E4  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7214612   	0x6E1614  	LZMA compressed data, properties: 0x40, dictionary size: 65536 bytes, uncompressed size: 65537 bytes
7738184   	0x761348  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7738232   	0x761378  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7738280   	0x7613A8  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7738328   	0x7613D8  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7738376   	0x761408  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7834628   	0x778C04  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7834676   	0x778C34  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7834724   	0x778C64  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7834772   	0x778C94  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7834820   	0x778CC4  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7931072   	0x7904C0  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7931120   	0x7904F0  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7931168   	0x790520  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7931216   	0x790550  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
7931264   	0x790580  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
8027516   	0x7A7D7C  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
8027564   	0x7A7DAC  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
8027612   	0x7A7DDC  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
8027660   	0x7A7E0C  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
8027708   	0x7A7E3C  	LZMA compressed data, properties: 0x40, dictionary size: 33554432 bytes, uncompressed size: 44288 bytes
8129857   	0x7C0D41  	LZMA compressed data, properties: 0x88, dictionary size: 65536 bytes, uncompressed size: 196608 bytes
8137963   	0x7C2CEB  	LZMA compressed data, properties: 0xC0, dictionary size: 16777216 bytes, uncompressed size: 256 bytes
8203743   	0x7D2DDF  	mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 4bit
8371151   	0x7FBBCF  	LZMA compressed data, properties: 0xC0, dictionary size: 65536 bytes, uncompressed size: 200 bytes
8502866   	0x81BE52  	LZMA compressed data, properties: 0x5A, dictionary size: 16777216 bytes, uncompressed size: 65538 bytes
8551692   	0x827D0C  	YAFFS filesystem
8691772   	0x84A03C  	ASCII cpio archive (SVR4 with no CRC), file name: "dev", file name length: "0x00000004", file size: "0x00000000" 
8691888   	0x84A0B0  	ASCII cpio archive (SVR4 with no CRC), file name: "dev/console", file name length: "0x0000000C", file size: "0x00000000" 
8692012   	0x84A12C  	ASCII cpio archive (SVR4 with no CRC), file name: "root", file name length: "0x00000005", file size: "0x00000000" 
8692128   	0x84A1A0  	ASCII cpio archive (SVR4 with no CRC), file name: "TRAILER!!!", file name length: "0x0000000B", file size: "0x00000000" 
8855109   	0x871E45  	Certificate in DER format (x509 v3),
9172993   	0x8BF801  	Certificate in DER format (x509 v3),
9173005   	0x8BF80D  	Certificate in DER format (x509 v3),
9514541   	0x912E2D  	Certificate in DER format (x509 v3),
9514545   	0x912E31  	Certificate in DER format (x509 v3),
9514549   	0x912E35  	Certificate in DER format (x509 v3),
9514553   	0x912E39  	Certificate in DER format (x509 v3),
9514557   	0x912E3D  	Certificate in DER format (x509 v3),
9514561   	0x912E41  	Certificate in DER format (x509 v3),
9514565   	0x912E45  	Certificate in DER format (x509 v3),
9514569   	0x912E49  	Certificate in DER format (x509 v3),
9517605   	0x913A25  	Certificate in DER format (x509 v3),
9517677   	0x913A6D  	Certificate in DER format (x509 v3),
9517681   	0x913A71  	Certificate in DER format (x509 v3),
9517685   	0x913A75  	Certificate in DER format (x509 v3),
9610453   	0x92A4D5  	Certificate in DER format (x509 v3),
9662336   	0x936F80  	ELF
9665972   	0x937DB4  	ELF
9680037   	0x93B4A5  	Certificate in DER format (x509 v3),
9680041   	0x93B4A9  	Certificate in DER format (x509 v3),
9680045   	0x93B4AD  	Certificate in DER format (x509 v3),
9680049   	0x93B4B1  	Certificate in DER format (x509 v3),
9680053   	0x93B4B5  	Certificate in DER format (x509 v3),
9884537   	0x96D379  	Certificate in DER format (x509 v3),
10079433  	0x99CCC9  	Certificate in DER format (x509 v3),
10079437  	0x99CCCD  	Certificate in DER format (x509 v3),
10079441  	0x99CCD1  	Certificate in DER format (x509 v3),
10079445  	0x99CCD5  	Certificate in DER format (x509 v3),
10079449  	0x99CCD9  	Certificate in DER format (x509 v3),
10079453  	0x99CCDD  	Certificate in DER format (x509 v3),
10079457  	0x99CCE1  	Certificate in DER format (x509 v3),
10079461  	0x99CCE5  	Certificate in DER format (x509 v3),
10079465  	0x99CCE9  	Certificate in DER format (x509 v3),
10079469  	0x99CCED  	Certificate in DER format (x509 v3),
10106529  	0x9A36A1  	Certificate in DER format (x509 v3),
10148949  	0x9ADC55  	Certificate in DER format (x509 v3),
10183149  	0x9B61ED  	Certificate in DER format (x509 v3),
10484225  	0x9FFA01  	Certificate in DER format (x509 v3),
10514833  	0xA07191  	Certificate in DER format (x509 v3),
10514837  	0xA07195  	Certificate in DER format (x509 v3),
10532221  	0xA0B57D  	Certificate in DER format (x509 v3),
10532225  	0xA0B581  	Certificate in DER format (x509 v3),
10974229  	0xA77415  	Certificate in DER format (x509 v3),
11727605  	0xB2F2F5  	Certificate in DER format (x509 v3),
11843881  	0xB4B929  	Certificate in DER format (x509 v3),
12098256  	0xB89AD0  	Certificate in DER format (x509 v3),
12098268  	0xB89ADC  	Certificate in DER format (x509 v3),
12098272  	0xB89AE0  	Certificate in DER format (x509 v3),
12098276  	0xB89AE4  	Certificate in DER format (x509 v3),
12098280  	0xB89AE8  	Certificate in DER format (x509 v3),
12098284  	0xB89AEC  	Certificate in DER format (x509 v3),
12098288  	0xB89AF0  	Certificate in DER format (x509 v3),
12098292  	0xB89AF4  	Certificate in DER format (x509 v3),
12098296  	0xB89AF8  	Certificate in DER format (x509 v3),
12287845  	0xBB7F65  	Certificate in DER format (x509 v3),
12316841  	0xBBF0A9  	Certificate in DER format (x509 v3),
12317389  	0xBBF2CD  	Certificate in DER format (x509 v3),
12353241  	0xBC7ED9  	Certificate in DER format (x509 v3),
12353345  	0xBC7F41  	Certificate in DER format (x509 v3),
12361777  	0xBCA031  	Certificate in DER format (x509 v3),
12448060  	0xBDF13C  	Linux kernel version "2.6.38.8 (jenkins@goproelgfwbld) (gcc version 4.4.1 (Sourcery G) (gcc version 4.4.1 (Sourcery G++ Lite 2009q3-67) ) #1 PREEMPT"
12478324  	0xBE6774  	gzip compressed data, maximum compression, from Unix, last modified: Mon Mar  3 12:15:56 2014
12569916  	0xBFCD3C  	lzop compressed data - version 0.000,
12588137  	0xC01469  	LZMA compressed data, properties: 0x65, dictionary size: 8388608 bytes, uncompressed size: 1048576 bytes
13161272  	0xC8D338  	xz compressed data
13660416  	0xD07100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
13662464  	0xD07900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
13664512  	0xD08100  	PC bitmap, Windows 3.x format, 60 x 18 x 1
13666560  	0xD08900  	PC bitmap, Windows 3.x format, 26 x 9 x 1
13668608  	0xD09100  	PC bitmap, Windows 3.x format, 42 x 44 x 1
13670656  	0xD09900  	PC bitmap, Windows 3.x format, 42 x 44 x 1
13672704  	0xD0A100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
13674752  	0xD0A900  	PC bitmap, Windows 3.x format, 56 x 18 x 1
13676800  	0xD0B100  	PC bitmap, Windows 3.x format, 56 x 18 x 1
13678848  	0xD0B900  	PC bitmap, Windows 3.x format, 42 x 44 x 1
13680896  	0xD0C100  	PC bitmap, Windows 3.x format, 60 x 75 x 1
13682944  	0xD0C900  	PC bitmap, Windows 3.x format, 56 x 18 x 1
13684992  	0xD0D100  	PC bitmap, Windows 3.x format, 56 x 18 x 1
13687040  	0xD0D900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
13689088  	0xD0E100  	PC bitmap, Windows 3.x format, 24 x 47 x 1
13691136  	0xD0E900  	PC bitmap, Windows 3.x format, 46 x 11 x 1
13693184  	0xD0F100  	PC bitmap, Windows 3.x format, 42 x 44 x 1
13695232  	0xD0F900  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13697280  	0xD10100  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13699328  	0xD10900  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13701376  	0xD11100  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13703424  	0xD11900  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13705472  	0xD12100  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13707520  	0xD12900  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13709568  	0xD13100  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13711616  	0xD13900  	PC bitmap, Windows 3.x format, 33 x 11 x 1
13713664  	0xD14100  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13715712  	0xD14900  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13717760  	0xD15100  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13719808  	0xD15900  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13721856  	0xD16100  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13723904  	0xD16900  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13725952  	0xD17100  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13728000  	0xD17900  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13730048  	0xD18100  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13732096  	0xD18900  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13734144  	0xD19100  	PC bitmap, Windows 3.x format, 4 x 18 x 1
13736192  	0xD19900  	PC bitmap, Windows 3.x format, 11 x 18 x 1
13738240  	0xD1A100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13738241  	0xD1A101  	Microsoft MS-DOS executable
13740288  	0xD1A900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13740289  	0xD1A901  	Microsoft MS-DOS executable
13742336  	0xD1B100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13744384  	0xD1B900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13744385  	0xD1B901  	Microsoft MS-DOS executable
13746432  	0xD1C100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13746433  	0xD1C101  	Microsoft MS-DOS executable
13748480  	0xD1C900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13748481  	0xD1C901  	Microsoft MS-DOS executable
13750528  	0xD1D100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13750529  	0xD1D101  	Microsoft MS-DOS executable
13752576  	0xD1D900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13752577  	0xD1D901  	Microsoft MS-DOS executable
13754624  	0xD1E100  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13754625  	0xD1E101  	Microsoft MS-DOS executable
13756672  	0xD1E900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13756673  	0xD1E901  	Microsoft MS-DOS executable
13758720  	0xD1F100  	PC bitmap, Windows 3.x format, 1 x 7 x 1
13758721  	0xD1F101  	Microsoft MS-DOS executable
13760768  	0xD1F900  	PC bitmap, Windows 3.x format, 5 x 7 x 1
13760769  	0xD1F901  	Microsoft MS-DOS executable
13762816  	0xD20100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13764864  	0xD20900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13766912  	0xD21100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13768960  	0xD21900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13771008  	0xD22100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13773056  	0xD22900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13775104  	0xD23100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13777152  	0xD23900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13779200  	0xD24100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13781248  	0xD24900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13783296  	0xD25100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13785344  	0xD25900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13787392  	0xD26100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13789440  	0xD26900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13791488  	0xD27100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13793536  	0xD27900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13795584  	0xD28100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13797632  	0xD28900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13799680  	0xD29100  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13801728  	0xD29900  	PC bitmap, Windows 3.x format, 6 x 11 x 1
13803776  	0xD2A100  	PC bitmap, Windows 3.x format, 4 x 11 x 1
13805824  	0xD2A900  	PC bitmap, Windows 3.x format, 2 x 11 x 1
13807872  	0xD2B100  	PC bitmap, Windows 3.x format, 44 x 28 x 1
13809920  	0xD2B900  	PC bitmap, Windows 3.x format, 54 x 14 x 1
13811968  	0xD2C100  	PC bitmap, Windows 3.x format, 3 x 11 x 1
13814016  	0xD2C900  	PC bitmap, Windows 3.x format, 3 x 11 x 1
13816064  	0xD2D100  	PC bitmap, Windows 3.x format, 1 x 11 x 1
13818112  	0xD2D900  	PC bitmap, Windows 3.x format, 1 x 11 x 1
13820160  	0xD2E100  	PC bitmap, Windows 3.x format, 1 x 11 x 1
13822208  	0xD2E900  	PC bitmap, Windows 3.x format, 42 x 44 x 1
13824256  	0xD2F100  	PC bitmap, Windows 3.x format, 18 x 11 x 1
13826304  	0xD2F900  	PC bitmap, Windows 3.x format, 44 x 18 x 1
13828352  	0xD30100  	PC bitmap, Windows 3.x format, 44 x 18 x 1
13830400  	0xD30900  	PC bitmap, Windows 3.x format, 44 x 18 x 1
13832448  	0xD31100  	PC bitmap, Windows 3.x format, 44 x 18 x 1
13834496  	0xD31900  	PC bitmap, Windows 3.x format, 56 x 18 x 1
13836544  	0xD32100  	PC bitmap, Windows 3.x format, 15 x 11 x 1
13838592  	0xD32900  	PC bitmap, Windows 3.x format, 15 x 11 x 1
13840640  	0xD33100  	PC bitmap, Windows 3.x format, 10 x 11 x 1
13842688  	0xD33900  	PC bitmap, Windows 3.x format, 10 x 11 x 1
13844736  	0xD34100  	PC bitmap, Windows 3.x format, 10 x 11 x 1
13846784  	0xD34900  	PC bitmap, Windows 3.x format, 10 x 11 x 1
13848832  	0xD35100  	PC bitmap, Windows 3.x format, 15 x 11 x 1
13850880  	0xD35900  	PC bitmap, Windows 3.x format, 60 x 1 x 1
13852928  	0xD36100  	PC bitmap, Windows 3.x format, 18 x 11 x 1
13854976  	0xD36900  	PC bitmap, Windows 3.x format, 18 x 11 x 1
13857024  	0xD37100  	PC bitmap, Windows 3.x format, 18 x 11 x 1
13859072  	0xD37900  	PC bitmap, Windows 3.x format, 18 x 11 x 1
13861120  	0xD38100  	PC bitmap, Windows 3.x format, 18 x 11 x 1
13863168  	0xD38900  	PC bitmap, Windows 3.x format, 18 x 11 x 1
13865216  	0xD39100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13867264  	0xD39900  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13869312  	0xD3A100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13871360  	0xD3A900  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13873408  	0xD3B100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13875456  	0xD3B900  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13877504  	0xD3C100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13879552  	0xD3C900  	PC bitmap, Windows 3.x format, 60 x 75 x 1
13881600  	0xD3D100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13881601  	0xD3D101  	Microsoft MS-DOS executable
13883648  	0xD3D900  	PC bitmap, Windows 3.x format, 21 x 7 x 1
13883649  	0xD3D901  	Microsoft MS-DOS executable
13885696  	0xD3E100  	PC bitmap, Windows 3.x format, 21 x 7 x 1
13887744  	0xD3E900  	PC bitmap, Windows 3.x format, 21 x 7 x 1
13889792  	0xD3F100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13891840  	0xD3F900  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13893888  	0xD40100  	PC bitmap, Windows 3.x format, 29 x 7 x 1
13895936  	0xD40900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13897984  	0xD41100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13900032  	0xD41900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13902080  	0xD42100  	PC bitmap, Windows 3.x format, 54 x 7 x 1
13904128  	0xD42900  	PC bitmap, Windows 3.x format, 54 x 7 x 1
